market,korean_name,english_name
KRW-ARK,아크,Ark
KRW-YGG,일드길드게임즈,Yield Guild Games
KRW-HUNT,헌트,Hunt Town
KRW-KAVA,카바,Kava
KRW-STMX,스톰엑스,StormX
KRW-MAGIC,매직,Magic
KRW-AUCTION,바운스토큰,Bounce Token
KRW-USDT,테더,Tether USDt
KRW-USDC,유에스디코인,USD Coin
KRW-RAD,래드웍스,Radworks
KRW-LSK,리스크,Lisk
KRW-TT,썬더코어,ThunderCore
KRW-ACE,퓨저니스트,Fusionist
KRW-SKL,스케일,SKALE
KRW-IQ,아이큐,IQ
KRW-PYTH,피스 네트워크,Pyth Network
KRW-MANTA,만타 네트워크,Manta Network
KRW-AKT,아카시 네트워크,Akash Network
KRW-BEAM,빔,Beam
KRW-JTO,지토,Jito
KRW-JUP,주피터,Jupiter
KRW-STRK,스타크넷,Starknet
KRW-SC,시아코인,Siacoin
KRW-BONK,봉크,Bonk
KRW-TOKAMAK,토카막 네트워크,Tokamak Network
KRW-AIOZ,아이오즈 네트워크,AIOZ Network
KRW-ZK,지케이싱크,zkSync
KRW-ONDO,온도 파이낸스,Ondo Finance
KRW-ALT,알트레이어,AltLayer
KRW-NEAR,니어프로토콜,NEAR Protocol
KRW-RON,로닌,Ronin
KRW-FIDA,솔라나 네임 서비스,Solana Name Service
KRW-STRAX,스트라티스,Stratis
KRW-XAI,자이,Xai
KRW-W,웜홀,Wormhole
KRW-POLYX,폴리매쉬,Polymesh
KRW-CORE,코어,Core
KRW-BB,바운스빗,BounceBit
KRW-REZ,렌조,Renzo
KRW-OMNI,옴니 네트워크,Omni Network
KRW-ENA,에테나,Ethena
KRW-MOCA,모카네트워크,Moca Network
KRW-ETHFI,이더파이,ether.fi
KRW-MEW,캣인어독스월드,cat in a dogs world
KRW-ZRO,레이어제로,LayerZero
KRW-IO,아이오넷,io.net
KRW-BLAST,블라스트,Blast
KRW-TAIKO,타이코,Taiko
KRW-BRETT,브렛,Brett
KRW-ATH,에이셔,Aethir
KRW-PCI,페이코인,Paycoin
KRW-AVAIL,어베일,Avail
KRW-TON,톤코인,Toncoin
KRW-G,그래비티,Gravity
KRW-PEAQ,피크,peaq
KRW-EIGEN,아이겐레이어,EigenLayer
KRW-ORDER,오덜리 네트워크,Orderly Network
KRW-SCR,스크롤,Scroll
KRW-SWELL,스웰 네트워크,Swell Network
KRW-UXLINK,유엑스링크,UXLINK
KRW-SKY,스카이 프로토콜,Sky Protocol
KRW-PONKE,폰케,Ponke
KRW-MVL,엠블,MVL
KRW-CARV,카브,CARV
KRW-PUFFER,퍼퍼,Puffer
KRW-SUNDOG,썬도그,Sundog
KRW-TURBO,터보,Turbo
KRW-RAY,레이디움,Raydium
KRW-SAFE,세이프,Safe
KRW-VIRTUAL,버추얼 프로토콜,Virtuals Protocol
KRW-DRIFT,드리프트,Drift
KRW-MOVE,무브먼트,Movement
KRW-F,신퓨처스,Synfutures
KRW-DEEP,딥북,DeepBook
KRW-MORPHO,모포,Morpho
KRW-NEIRO,네이로,Neiro
KRW-MOODENG,무뎅,Moo Deng
KRW-DBR,디브릿지,deBridge
KRW-GOAT,고트세우스 막시무스,Goatseus Maximus
KRW-NIL,닐리온,Nillion
KRW-ME,매직 에덴,Magic Eden
KRW-ZRC,저킷,Zircuit
KRW-IOTA,아이오타,IOTA
KRW-PENGU,펏지 펭귄,Pudgy Penguins
KRW-ACX,어크로스 프로토콜,Across Protocol
KRW-AERO,에어로드롬 파이낸스,Aerodrome Finance
KRW-THE,테나,THENA
KRW-AMP,앰프,Amp
KRW-VANA,바나,Vana
KRW-XYO,엑스와이오,XYO
KRW-A8,에인션트8,Ancient8
KRW-SONIC,소닉 에스브이엠,Sonic SVM
KRW-IP,스토리,Story
KRW-DKA,디카르고,dKargo
KRW-SOLV,솔브 프로토콜,Solv Protocol
KRW-QKC,쿼크체인,QuarkChain
KRW-HPO,히포크랏,Hippocrat
KRW-GAME2,게임빌드,GameBuild
KRW-STRIKE,스트라이크,Strike
KRW-ARDR,아더,Ardor
KRW-BOUNTY,체인바운티,Chainbounty
KRW-SHELL,마이쉘,MyShell
KRW-BERA,베라체인,Berachain
KRW-PLUME,플룸,Plume
KRW-OBT,오비터 파이낸스,Orbiter Finance
KRW-TRUMP,오피셜 트럼프,OFFICIAL TRUMP
KRW-KERNEL,커널 다오,Kernel DAO
KRW-COOKIE,쿠키 다오,Cookie DAO
KRW-GNO,노시스,Gnosis
KRW-VTHO,비토르 토큰,VeThor Token
KRW-ANIME,애니메코인,Animecoin
KRW-RED,레드스톤,RedStone
KRW-LAYER,솔레이어,Solayer
KRW-WCT,월렛커넥트,WalletConnect
KRW-KAITO,카이토,Kaito
KRW-BMT,버블맵스,Bubblemaps
KRW-PAXG,팍스골드,PAX Gold
KRW-AVL,아발론,Avalon
KRW-PUNDIAI,펀디에이아이,Pundi AI
KRW-ELX,엘릭서,Elixir
KRW-COW,카우 프로토콜,CoW Protocol
KRW-WAL,월러스,Walrus
KRW-BABY,바빌론,Babylon
KRW-GRASS,그래스,Grass
KRW-ORCA,오르카,Orca
KRW-PUMP,펌프,PUMP
KRW-HAEDAL,해달 프로토콜,Haedal Protocol
KRW-AI16Z,에이아이식스틴즈,ai16z
KRW-SIGN,사인,Sign
BTC-ETH,이더리움,Ethereum
BTC-XRP,엑스알피 [리플],XRP
BTC-KAIA,카이아,Kaia
BTC-KSP,클레이스왑,KlaySwap Protocol
BTC-DOGE,도지코인,Dogecoin
BTC-BNB,비앤비,BNB
BTC-SOL,솔라나,Solana
BTC-ENS,이더리움네임서비스,Ethereum Name Service
BTC-CSPR,캐스퍼,Casper
BTC-WITCH,위치 토큰,Witch Token
BTC-TALK,톡큰,Talken
BTC-DICE,클레이다이스,KLAYDICE
BTC-AHT,아하토큰,AhaToken
BTC-KWENTA,크웬타,Kwenta
BTC-HVH,하바,HAVAH
